Policy,Total_Cost_SEK,Annual_Cost_SEK,ISL,vs_SIP_ratio,N_Regular_Orders,N_Rush_Events,Avg_Order_Qty,Ordering_Cost,Rush_Cost,Holding_Cost,End_Backorders,Stockout_Rate,Cost_Per_Demand
SIP,1255.41,1043.79,0.9985,1.0,4,2,2950.5,623.6,430.06,201.7475,0.0,0.0046,0.2732
PPO,22156.65,18421.82,0.9393,17.6489,0,103,0.0,0.0,22153.35,3.3054,0.0,0.2187,4.8209
SAC,19339.74,16079.74,1.0,15.4051,120,0,534.0,18128.15,0.0,1211.5963,0.0,0.0,4.208
A2C,28376.24,23593.0,0.938,22.6031,30,111,24.0,4501.44,23871.98,2.8236,0.0,0.2278,6.1741
TD3,22156.65,18421.82,0.9393,17.6489,0,103,0.0,0.0,22153.35,3.3054,0.0,0.2187,4.8209
